"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","1  BASE 979","2  BASE 961","3  BASE 962","4  BASE 967","5  BASE 9712","6  BASE 973","7  BASE 985","8  PROP ERR","9  ADD ERR","10 KOUT","11 LGK10","12 LGKZERO","13 LGEMAX","14 LGEC50","15 HVMX","16 ST979MX","17 HVKOUT","1 SD(BASE)","2 SD(KOUT)","3 SD(K10)","4 SD(KZERO)","5 SD(EMAX)","6 SD(EC50)","7 SD(EPS)","SIGMA(1,1)","se1  BASE 979","se2  BASE 961","se3  BASE 962","se4  BASE 967","se5  BASE 9712","se6  BASE 973","se7  BASE 985","se8  PROP ERR","se9  ADD ERR","se10 KOUT","se11 LGK10","se12 LGKZERO","se13 LGEMAX","se14 LGEC50","se15 HVMX","se16 ST979MX","se17 HVKOUT","se1 SD(BASE)","se2 SD(KOUT)","se3 SD(K10)","se4 SD(KZERO)","se5 SD(EMAX)","se6 SD(EC50)","se7 SD(EPS)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_eta6(%)","shrinkage_eta7(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21","EI22","EI23","EI24","EI25"
285,1,1,0,1,0,0,0,0,0,0,1,0,3.0,NA,FOCE_I,NA,3851.21,0,20244.5568979923,3.74582,5.43471,6.11696,5.37893,6.33415,2.95831,3.86748,0.119087,0,-3.84044,-4.41077,-5.4,0.345866,7.63188,0.742492,-0.569021,0.882227,0.014066,0.62111,0,0,0.306006,0,0.0704507,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,1,1,0,1,0,0,0,0,0,0,1,0,3.2,NA,FOCE_I,NA,3894.81,0,20663.5853863571,3.77473,5.48742,6.12745,5.3181,6.36659,2.96794,3.90004,0.115536,0,-3.83398,-4.64107,-5.4,0.173236,7.67369,0.76908,-0.66528,1.05845,0.011362,0.689728,0,0,0.212686,0,0.11177,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,1,1,0,1,0,0,0,0,0,0,0,0,3.0,NA,FOCE_I,NA,2584.33,0,20905.8423407163,3.75457,5.45605,6.13486,5.37275,6.35756,2.94311,3.83948,0.11971,0,-3.83479,-4.40661,-5.4,0.344174,7.57787,0.645644,-0.72439,0.808449,0.013649,0.642647,0,0,0.290549,0,0.103063,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,1,1,0,0,0,0,0,1,0,0,4,0,1.9,NA,FOCE_I,NA,8184.43,0,20015.0193758324,3.78104,5.48946,6.1157,5.32508,6.3029,2.94393,3.88655,0.119239,0,-3.53608,-4.5988,-5.4,0.205915,7.89206,0.871311,-0.536186,0.70541,0.0124526,0.737793,0,0,0.295787,0,0.115225,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,1,1,0,1,0,0,0,0,0,0,0,0,4.1,NA,FOCE_I,NA,3293.13,0,20920.2196387639,3.76056,5.46075,6.10676,5.31021,6.34015,2.95612,3.86851,0.119042,0,-3.7299,-4.54119,-5.4,0.28516,7.78249,0.677526,-0.668176,0.970239,0.0127123,0.314608,0,0,0.265943,0,0.098184,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,2307.38,0,20588.2578370956,3.74703,5.48023,6.12079,5.34327,6.31847,2.96606,3.88541,0.120552,0,-3.92469,-4.54472,-5.4,0.311425,7.7716,0.776223,-0.565719,0.970294,0.0127437,0.568642,0,0,0.245415,0,0.0635428,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,2609.75,0,20405.1656892407,3.76473,5.4426,6.08853,5.30821,6.33018,2.9505,3.83654,0.115851,0,-3.89684,-4.45324,-5.4,0.26629,7.62949,0.390232,-0.54001,0.950751,0.0142713,0.562556,0,0,0.313501,0,0.102027,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,3653.33,0,21256.7571272963,3.79264,5.50157,6.10498,5.34179,6.34215,2.94559,3.93669,0.117531,0,-3.47093,-4.66403,-5.4,0.213709,7.77366,0.675972,-0.537456,0.526417,0.0140871,0.701391,0,0,0.181111,0,0.13443,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,1,1,0,1,0,0,0,0,0,0,3,0,3.5,NA,FOCE_I,NA,5555.94,0,21255.8230743338,3.76069,5.46819,6.10835,5.39233,6.32494,2.95193,3.8436,0.118967,0,-3.88346,-4.37388,-5.4,0.353631,7.43777,0.602289,-0.715012,0.996131,0.0129987,0.632407,0,0,0.235721,0,0.106559,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,1,1,0,1,0,0,0,0,0,0,2,0,3.4,NA,FOCE_I,NA,4965.46,0,20043.1495422624,3.78135,5.4736,6.10477,5.29182,6.33741,2.93792,3.9112,0.12089,0,-3.61642,-4.59574,-5.4,0.2807,7.99445,0.902477,-0.460331,0.617681,0.0139186,0.781508,0,0,0.295919,0,0.131927,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,1,1,0,0,0,0,0,1,0,0,3,0,2.7,NA,FOCE_I,NA,6080.9,0,20132.1308318556,3.79896,5.44227,6.1027,5.3627,6.33991,2.96657,3.83075,0.116408,0,-3.96181,-4.44727,-5.4,0.342998,7.7367,0.543524,-0.649985,1.07362,0.0142523,0.484049,0,0,0.28045,0,0.118592,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,1,1,0,0,0,0,0,1,0,0,1,0,2.8,NA,FOCE_I,NA,4371.98,0,20539.6900995968,3.77618,5.50786,6.06987,5.37747,6.35758,2.93914,3.9068,0.116867,0,-3.50382,-4.60327,-5.4,0.20546,7.62263,0.680331,-0.61671,0.648965,0.0131076,1.04607,0,0,0.300292,0,0.130415,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,1,1,0,1,0,0,0,0,0,0,0,0,4.3,NA,FOCE_I,NA,2785.44,0,20838.793268547,3.75606,5.45516,6.13999,5.28363,6.34548,2.95106,3.85717,0.11939,0,-3.66731,-4.43176,-5.4,0.251415,7.49966,0.621952,-0.666228,0.722183,0.0148029,0.552142,0,0,0.228143,0,0.125728,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
